county,precinct,office,district,party,candidate,votes
Indiana,Glen Campbell,Ballots Cast,,DEM,,31
Indiana,Glen Campbell,Ballots Cast,,REP,,14
Indiana,Glen Campbell,Ballots Cast,,NPA,,0
Indiana,Grant,Registered Voters,,,,380
Indiana,Grant,Registered Voters,,DEM,,109
Indiana,Grant,Registered Voters,,REP,,271
Indiana,Grant,Registered Voters,,NPA,,0
Indiana,Grant,Ballots Cast,,,,164
Indiana,Grant,Ballots Cast,,DEM,,35
Indiana,Grant,Ballots Cast,,REP,,129
Indiana,Grant,Ballots Cast,,NPA,,0
Indiana,Green #1,Registered Voters,,,,774
Indiana,Green #1,Registered Voters,,DEM,,214
Indiana,Green #1,Registered Voters,,REP,,560
Indiana,Green #1,Registered Voters,,NPA,,0
Indiana,Green #1,Ballots Cast,,,,350
Indiana,Green #1,Ballots Cast,,DEM,,84
Indiana,Green #1,Ballots Cast,,REP,,266
Indiana,Green #1,Ballots Cast,,NPA,,0
Indiana,Green #2,Registered Voters,,,,787
Indiana,Green #2,Registered Voters,,DEM,,259
Indiana,Green #2,Registered Voters,,REP,,528
Indiana,Green #2,Registered Voters,,NPA,,0
Indiana,Green #2,Ballots Cast,,,,279
Indiana,Green #2,Ballots Cast,,DEM,,76
Indiana,Green #2,Ballots Cast,,REP,,203
Indiana,Green #2,Ballots Cast,,NPA,,0
Indiana,Green #3,Registered Voters,,,,330
Indiana,Green #3,Registered Voters,,DEM,,115
Indiana,Green #3,Registered Voters,,REP,,215
Indiana,Green #3,Registered Voters,,NPA,,0
Indiana,Green #3,Ballots Cast,,,,127
Indiana,Green #3,Ballots Cast,,DEM,,39
Indiana,Green #3,Ballots Cast,,REP,,88
Indiana,Green #3,Ballots Cast,,NPA,,0
Indiana,Homer City #1,Registered Voters,,,,603
Indiana,Homer City #1,Registered Voters,,DEM,,329
Indiana,Homer City #1,Registered Voters,,REP,,274
Indiana,Homer City #1,Registered Voters,,NPA,,0
Indiana,Homer City #1,Ballots Cast,,,,266
Indiana,Homer City #1,Ballots Cast,,DEM,,159
Indiana,Homer City #1,Ballots Cast,,REP,,107
Indiana,Homer City #1,Ballots Cast,,NPA,,0
Indiana,Homer City #2,Registered Voters,,,,382
Indiana,Homer City #2,Registered Voters,,DEM,,189
Indiana,Homer City #2,Registered Voters,,REP,,193
Indiana,Homer City #2,Registered Voters,,NPA,,0
Indiana,Homer City #2,Ballots Cast,,,,162
Indiana,Homer City #2,Ballots Cast,,DEM,,83
Indiana,Homer City #2,Ballots Cast,,REP,,79
Indiana,Homer City #2,Ballots Cast,,NPA,,0
Indiana,Indiana #1,Registered Voters,,,,986
Indiana,Indiana #1,Registered Voters,,DEM,,539
Indiana,Indiana #1,Registered Voters,,REP,,447
Indiana,Indiana #1,Registered Voters,,NPA,,0
Indiana,Indiana #1,Ballots Cast,,,,402
Indiana,Indiana #1,Ballots Cast,,DEM,,238
Indiana,Indiana #1,Ballots Cast,,REP,,164
Indiana,Indiana #1,Ballots Cast,,NPA,,0
Indiana,Indiana #2/1,Registered Voters,,,,614
Indiana,Indiana #2/1,Registered Voters,,DEM,,349
Indiana,Indiana #2/1,Registered Voters,,REP,,265
Indiana,Indiana #2/1,Registered Voters,,NPA,,0
Indiana,Indiana #2/1,Ballots Cast,,,,171
Indiana,Indiana #2/1,Ballots Cast,,DEM,,102
Indiana,Indiana #2/1,Ballots Cast,,REP,,69
Indiana,Indiana #2/1,Ballots Cast,,NPA,,0
Indiana,Indiana #2/2,Registered Voters,,,,774
Indiana,Indiana #2/2,Registered Voters,,DEM,,428
Indiana,Indiana #2/2,Registered Voters,,REP,,346
Indiana,Indiana #2/2,Registered Voters,,NPA,,0
Indiana,Indiana #2/2,Ballots Cast,,,,339
Indiana,Indiana #2/2,Ballots Cast,,DEM,,219
Indiana,Indiana #2/2,Ballots Cast,,REP,,120
Indiana,Indiana #2/2,Ballots Cast,,NPA,,0
Indiana,Indiana #3/1,Registered Voters,,,,847
Indiana,Indiana #3/1,Registered Voters,,DEM,,575
Indiana,Indiana #3/1,Registered Voters,,REP,,272
Indiana,Indiana #3/1,Registered Voters,,NPA,,0
Indiana,Indiana #3/1,Ballots Cast,,,,59
Indiana,Indiana #3/1,Ballots Cast,,DEM,,49
Indiana,Indiana #3/1,Ballots Cast,,REP,,10
Indiana,Indiana #3/1,Ballots Cast,,NPA,,0
Indiana,Indiana #3/2,Registered Voters,,,,1216
Indiana,Indiana #3/2,Registered Voters,,DEM,,821
Indiana,Indiana #3/2,Registered Voters,,REP,,395
Indiana,Indiana #3/2,Registered Voters,,NPA,,0
Indiana,Indiana #3/2,Ballots Cast,,,,167
Indiana,Indiana #3/2,Ballots Cast,,DEM,,123
Indiana,Indiana #3/2,Ballots Cast,,REP,,44
Indiana,Indiana #3/2,Ballots Cast,,NPA,,0
Indiana,Indiana #3/4,Registered Voters,,,,523
Indiana,Indiana #3/4,Registered Voters,,DEM,,288
Indiana,Indiana #3/4,Registered Voters,,REP,,235
Indiana,Indiana #3/4,Registered Voters,,NPA,,0
Indiana,Indiana #3/4,Ballots Cast,,,,196
Indiana,Indiana #3/4,Ballots Cast,,DEM,,101
Indiana,Indiana #3/4,Ballots Cast,,REP,,95
Indiana,Indiana #3/4,Ballots Cast,,NPA,,0
Indiana,Indiana #4,Registered Voters,,,,810
Indiana,Indiana #4,Registered Voters,,DEM,,434
Indiana,Indiana #4,Registered Voters,,REP,,376
Indiana,Indiana #4,Registered Voters,,NPA,,0
Indiana,Indiana #4,Ballots Cast,,,,297
Indiana,Indiana #4,Ballots Cast,,DEM,,183
Indiana,Indiana #4,Ballots Cast,,REP,,114
Indiana,Indiana #4,Ballots Cast,,NPA,,0
Indiana,East Mahoning,Registered Voters,,,,519
Indiana,East Mahoning,Registered Voters,,DEM,,115
Indiana,East Mahoning,Registered Voters,,REP,,404
Indiana,East Mahoning,Registered Voters,,NPA,,0
Indiana,East Mahoning,Ballots Cast,,,,241
Indiana,East Mahoning,Ballots Cast,,DEM,,40
Indiana,East Mahoning,Ballots Cast,,REP,,201
Indiana,East Mahoning,Ballots Cast,,NPA,,0
Indiana,North Mahoning,Registered Voters,,,,531
Indiana,North Mahoning,Registered Voters,,DEM,,119
Indiana,North Mahoning,Registered Voters,,REP,,412
Indiana,North Mahoning,Registered Voters,,NPA,,0
Indiana,North Mahoning,Ballots Cast,,,,296
Indiana,North Mahoning,Ballots Cast,,DEM,,50
Indiana,North Mahoning,Ballots Cast,,REP,,246
Indiana,North Mahoning,Ballots Cast,,NPA,,0
Indiana,South Mahoning,Registered Voters,,,,684
Indiana,South Mahoning,Registered Voters,,DEM,,197
Indiana,South Mahoning,Registered Voters,,REP,,487
Indiana,South Mahoning,Registered Voters,,NPA,,0
Indiana,South Mahoning,Ballots Cast,,,,313
Indiana,South Mahoning,Ballots Cast,,DEM,,75
Indiana,South Mahoning,Ballots Cast,,REP,,238
Indiana,South Mahoning,Ballots Cast,,NPA,,0
Indiana,West Mahoning,Registered Voters,,,,224
Indiana,West Mahoning,Registered Voters,,DEM,,44
Indiana,West Mahoning,Registered Voters,,REP,,180
Indiana,West Mahoning,Registered Voters,,NPA,,0
Indiana,West Mahoning,Ballots Cast,,,,107
Indiana,West Mahoning,Ballots Cast,,DEM,,19
Indiana,West Mahoning,Ballots Cast,,REP,,88
Indiana,West Mahoning,Ballots Cast,,NPA,,0
Indiana,Marion Center,Registered Voters,,,,213
Indiana,Marion Center,Registered Voters,,DEM,,62
Indiana,Marion Center,Registered Voters,,REP,,151
Indiana,Marion Center,Registered Voters,,NPA,,0
Indiana,Marion Center,Ballots Cast,,,,101
Indiana,Marion Center,Ballots Cast,,DEM,,24
Indiana,Marion Center,Ballots Cast,,REP,,77
Indiana,Marion Center,Ballots Cast,,NPA,,0
Indiana,Montgomery,Registered Voters,,,,766
Indiana,Montgomery,Registered Voters,,DEM,,282
Indiana,Montgomery,Registered Voters,,REP,,484
Indiana,Montgomery,Registered Voters,,NPA,,0
Indiana,Montgomery,Ballots Cast,,,,316
Indiana,Montgomery,Ballots Cast,,DEM,,108
Indiana,Montgomery,Ballots Cast,,REP,,208
Indiana,Montgomery,Ballots Cast,,NPA,,0
Indiana,Pine #1,Registered Voters,,,,424
Indiana,Pine #1,Registered Voters,,DEM,,154
Indiana,Pine #1,Registered Voters,,REP,,270
Indiana,Pine #1,Registered Voters,,NPA,,0
Indiana,Pine #1,Ballots Cast,,,,181
Indiana,Pine #1,Ballots Cast,,DEM,,60
Indiana,Pine #1,Ballots Cast,,REP,,121
Indiana,Pine #1,Ballots Cast,,NPA,,0
Indiana,Pine #2,Registered Voters,,,,258
Indiana,Pine #2,Registered Voters,,DEM,,124
Indiana,Pine #2,Registered Voters,,REP,,134
Indiana,Pine #2,Registered Voters,,NPA,,0
Indiana,Pine #2,Ballots Cast,,,,109
Indiana,Pine #2,Ballots Cast,,DEM,,54
Indiana,Pine #2,Ballots Cast,,REP,,55
Indiana,Pine #2,Ballots Cast,,NPA,,0
Indiana,Pine #3,Registered Voters,,,,232
Indiana,Pine #3,Registered Voters,,DEM,,105
Indiana,Pine #3,Registered Voters,,REP,,127
Indiana,Pine #3,Registered Voters,,NPA,,0
Indiana,Pine #3,Ballots Cast,,,,78
Indiana,Pine #3,Ballots Cast,,DEM,,35
Indiana,Pine #3,Ballots Cast,,REP,,43
Indiana,Pine #3,Ballots Cast,,NPA,,0
Indiana,Plumville,Registered Voters,,,,135
Indiana,Plumville,Registered Voters,,DEM,,44
Indiana,Plumville,Registered Voters,,REP,,91
Indiana,Plumville,Registered Voters,,NPA,,0
Indiana,Plumville,Ballots Cast,,,,61
Indiana,Plumville,Ballots Cast,,DEM,,18
Indiana,Plumville,Ballots Cast,,REP,,43
Indiana,Plumville,Ballots Cast,,NPA,,0
Indiana,Rayne,Registered Voters,,,,1649
Indiana,Rayne,Registered Voters,,DEM,,501
Indiana,Rayne,Registered Voters,,REP,,1148
Indiana,Rayne,Registered Voters,,NPA,,0
Indiana,Rayne,Ballots Cast,,,,727
Indiana,Rayne,Ballots Cast,,DEM,,204
Indiana,Rayne,Ballots Cast,,REP,,523
Indiana,Rayne,Ballots Cast,,NPA,,0
Indiana,Saltsburg,Registered Voters,,,,409
Indiana,Saltsburg,Registered Voters,,DEM,,199
Indiana,Saltsburg,Registered Voters,,REP,,210
Indiana,Saltsburg,Registered Voters,,NPA,,0
Indiana,Saltsburg,Ballots Cast,,,,174
Indiana,Saltsburg,Ballots Cast,,DEM,,88
Indiana,Saltsburg,Ballots Cast,,REP,,86
Indiana,Saltsburg,Ballots Cast,,NPA,,0
Indiana,Shelocta,Registered Voters,,,,44
Indiana,Shelocta,Registered Voters,,DEM,,11
Indiana,Shelocta,Registered Voters,,REP,,33
Indiana,Shelocta,Registered Voters,,NPA,,0
